230.0,197.047,-68,-220,1.0
233.0,198.578,-75,-221,1.0
231.0,198.75,-75,-219,1.0
234.0,199.281,-78,-221,1.0
238.0,202.313,-91,-221,1.0
236.0,202.359,-90,-219,1.0
242.0,204.078,-99,-221,1.0
240.0,204.766,-101,-218,1.0
245.0,205.031,-104,-222,1.0
247.0,206.984,-113,-221,1.0
250.0,207.563,-116,-222,1.0
252.0,208.516,-121,-222,1.0
255.0,209.719,-127,-222,1.0
258.0,211.922,-137,-219,1.0
261.0,213.0,-143,-219,1.0
265.0,213.328,-146,-222,1.0
268.0,214.906,-154,-220,1.0
272.0,215.469,-158,-222,1.0
276.0,217.297,-168,-220,1.0
281.0,218.625,-176,-220,1.0
286.0,218.703,-179,-224,1.0
289.0,219.781,-185,-223,1.0
289.0,221.609,-192,-217,1.0
282.0,223.188,-193,-206,1.0
275.0,224.516,-193,-197,1.0
269.0,225.469,-192,-189,1.0
263.0,226.422,-191,-182,1.0
258.0,228.625,-194,-171,1.0
253.0,229.188,-192,-166,1.0
248.0,230.641,-192,-158,1.0
245.0,232.344,-194,-150,1.0
240.0,232.797,-192,-146,1.0
236.0,234.75,-193,-137,1.0
233.0,236.578,-195,-129,1.0
230.0,236.906,-193,-126,1.0
226.0,239.609,-195,-115,1.0
221.0,240.516,-193,-109,1.0
223.0,240.813,-195,-109,1.0
218.0,242.844,-194,-100,1.0
216.0,243.781,-194,-96,1.0
213.0,245.609,-194,-88,1.0
211.0,246.813,-194,-84,1.0
209.0,248.016,-194,-79,1.0
208.0,249.219,-195,-74,1.0
206.0,250.422,-195,-70,1.0
204.0,251.625,-194,-65,1.0
203.0,252.828,-194,-60,1.0
202.0,254.031,-195,-56,1.0
200.0,255.234,-194,-51,1.0
199.0,256.188,-194,-48,1.0
198.0,257.641,-194,-43,1.0
198.0,258.844,-195,-39,1.0
197.0,260.047,-195,-35,1.0
196.0,261.25,-194,-30,1.0
196.0,262.203,-195,-27,1.0
195.0,263.672,-194,-22,1.0
194.0,264.859,-194,-18,1.0
194.0,266.063,-194,-14,1.0
194.0,267.141,-194,-10,1.0
194.0,268.469,-194,-6,1.0
194.0,269.672,-194,-2,1.0
194.0,270.875,-194,2,1.0
194.0,272.078,-194,7,1.0
194.0,273.281,-194,11,1.0
195.0,273.734,-195,12,1.0
196.0,275.688,-196,19,1.0
196.0,276.891,-195,23,1.0
196.0,278.094,-195,27,1.0
197.0,278.672,-195,29,1.0
198.0,280.5,-195,36,1.0
199.0,281.703,-195,40,1.0
200.0,282.891,-195,44,1.0
201.0,283.969,-196,48,1.0
202.0,285.297,-195,53,1.0
203.0,286.5,-195,57,1.0
204.0,287.688,-195,61,1.0
205.0,288.891,-194,66,1.0
207.0,290.094,-195,71,1.0
208.0,291.297,-194,75,1.0
210.0,292.734,-194,81,1.0
212.0,293.688,-195,85,1.0
214.0,294.016,-196,87,1.0
216.0,295.219,-196,92,1.0
218.0,297.281,-194,99,1.0
220.0,298.484,-194,104,1.0
223.0,298.563,-196,106,1.0
225.0,300.891,-194,115,1.0
228.0,302.078,-194,121,1.0
231.0,303.281,-194,126,1.0
237.0,304.063,-197,132,1.0
234.0,304.484,-193,132,1.0
241.0,305.25,-197,139,1.0
244.0,306.328,-197,144,1.0
248.0,307.531,-197,151,1.0
252.0,308.609,-197,157,1.0
256.0,309.922,-197,164,1.0
259.0,311.125,-196,170,1.0
258.0,311.953,-192,172,1.0
252.0,313.781,-182,174,1.0
246.0,314.594,-176,172,1.0
241.0,316.172,-167,173,1.0
235.0,318.25,-157,175,1.0
231.0,319.078,-152,174,1.0
227.0,320.031,-146,173,1.0
222.0,322.484,-136,176,1.0
218.0,323.688,-130,175,1.0
215.0,324.906,-124,175,1.0
211.0,326.109,-118,175,1.0
208.0,327.313,-113,175,1.0
205.0,328.516,-108,174,1.0
203.0,329.734,-103,175,1.0
200.0,330.938,-98,174,1.0
198.0,332.141,-93,175,1.0
195.0,333.359,-88,174,1.0
193.0,334.563,-83,174,1.0
191.0,335.766,-79,174,1.0
189.0,336.969,-74,173,1.0
188.0,337.813,-71,174,1.0
186.0,339.391,-66,174,1.0
184.0,340.594,-62,173,1.0
183.0,341.813,-58,173,1.0
182.0,343.016,-54,174,1.0
181.0,344.219,-50,174,1.0
180.0,345.422,-46,174,1.0
179.0,346.641,-42,174,1.0
178.0,347.844,-38,174,1.0
177.0,349.047,-34,173,1.0
177.0,350.266,-30,174,1.0
176.0,351.469,-27,174,1.0
176.0,352.672,-23,174,1.0
175.0,353.875,-19,174,1.0
175.0,355.094,-15,174,1.0
175.0,356.297,-12,174,1.0
175.0,357.5,-8,174,1.0
175.0,359.125,-3,174,1.0
